listener_id,artist_id
750-48-6015,ARD7TVE1187B99BFB1
457-42-4347,ARMJAGH1187FB546F3
954-63-4114,ARKRRTF1187B9984DA
730-90-1342,AR7G5I41187FB4CE6C
428-68-2273,ARXR32B1187FB57099
240-89-4293,ARKFYS91187B98E58F
499-50-0307,ARD0S291187B9B7BF5
656-54-9658,AR10USD1187B99F3F1
335-51-8691,AR8ZCNI1187B9A069B
462-62-1923,ARNTLGG11E2835DDB9
874-71-5133,ARGSJW91187B9B1D6B
464-30-0566,ARC43071187B990240
255-80-2899,ARL7K851187B99ACD2
471-07-2098,ARHHO3O1187B989413
554-08-7450,ARIK43K1187B9AE54C
950-31-4569,ARD842G1187B997376
357-29-6920,ARIG6O41187B988BDD
761-00-8349,AR1ZHYZ1187FB3C717
877-29-3911,ARYKCQI1187FB3B18F
528-70-0912,ARNPAGP1241B9C7FD4
203-92-1007,ARQGYP71187FB44566
544-98-0447,ARI3BMM1187FB4255E
370-74-3814,AR5KOSW1187FB35FF4
240-85-3156,ARMAC4T1187FB3FA4C
785-09-8897,AR47JEX1187B995D81
590-34-2705,ARGIWFO1187B9B55B7
648-81-6975,ARNTLGG11E2835DDB9
416-92-0586,ARDNS031187B9924F0
604-71-2962,AROUOZZ1187B9ABE51
759-76-0774,ARH4Z031187B9A71F2
549-08-4117,ARB29H41187B98F0EF
852-54-6475,AR1Y2PT1187FB5B9CE
428-23-2965,ARAJPHH1187FB5566A
675-96-3083,AR0RCMP1187FB3F427
232-87-1158,AREBBGV1187FB523D2
757-81-5423,ARGUVEV1187B98BA17
960-09-7533,ARPQ4Z01187FB3A736
764-72-6790,ARNQAVF11F4C844C04
490-78-7844,ARXUT4W1187FB48BEB
955-67-4075,ARDD1RC1187B9B52B4
125-73-0256,ARLGWFM1187FB4AC9F
173-94-9283,ARWYVP51187B98C516
674-10-3782,ARFCUN31187B9AD578
185-45-1319,AR6YDKV1187B989230
935-73-1542,ARV1JVD1187B9AD195
736-10-9175,AR7TTS41187B9B42D3
404-98-2467,ART3O5Z1187B9AB043
747-18-7183,AR5U94U1187FB5CDCF
743-65-4731,ARRJNTE1187FB44E12
544-56-6737,AR6IRG41187B9A4D98
429-97-9037,ARS1OWB1187B99EEAD
983-01-8729,ARGMXQW1187FB54C34
453-77-8327,AROEL1B1187B988B90
315-31-1009,AR8W8DN1187FB35ED0
865-95-8971,ARUWLCL1187FB549B8
535-49-5771,AR3793X1187FB50CB3
894-42-0561,ARINEWW1187FB5577E
542-90-4315,ARDGB6U1187FB3AD07
749-12-0407,AR2J2WF1187FB46271
657-96-4685,ARUI8651187B9ACF52
797-73-5952,AR89DTT1187B9A7ED5
882-51-1382,ARMD0G81187B99A519
845-49-7090,AR0VZWC1187B99BA57
131-33-7727,ARF2EHS1187B994F4E
481-29-5395,ARZKRD01187FB45FD2
630-81-7232,ARK4H5K1187B992F74
370-60-2101,AR06EB01187FB40150
135-16-5396,ARKPDBH1242077DEB1
984-98-8616,ARBJSO81187B9BA09B
623-85-0431,ARRC2JF1187B9B6A93
709-76-9626,ARNIFX51187FB418EA
533-46-5943,ARCCRTI11F4C845308
231-35-0442,ARNVH8S1187FB52F86
908-48-1230,ARNLO5S1187B9B80CC
200-13-9647,ARTDQRC1187FB4EFD4
163-89-6624,ARK9TRQ1187B99C095
253-08-5617,ARODBRG1187FB3FD99
441-11-7081,ARMBYRO1187FB57419
463-72-4331,ARWY7I71187FB36C3D
624-05-1226,AR6Y22S1187B99906F
164-33-7355,ARI5P4N1187FB3F44D
995-00-7599,ARYPWUK1187B98ACED
644-30-6356,ARW63KF1187B98AC48
636-05-8811,AR8H87D1187FB3A841
139-45-6655,ARLWR721187B9A03C9
477-04-6426,ARF4V431187FB3AA41
829-13-5039,ARBGWMW1187B9AEA3E
818-79-9698,AR6G4V01187B9AD086
876-55-5397,ARVQ4QM1187B98AD95
874-65-9749,AR9AM2N1187B9AD2F1
927-54-8662,AR9XEVF1187B99D017
698-26-3390,ARCFOZ71187FB43A0D
162-78-3313,ARHFEBO11F50C4825A
543-64-0431,AR107SB1187B9A79F9
653-63-5375,ARXWAQQ1187B9AE954
876-91-8265,ARL6XZC1187FB3936E
327-15-4094,ARSDSMG1187B98CB59
472-85-2766,AR3WMW01187B9921F7
289-84-3609,AR3C3C01187B98E800
255-11-5190,ARDD9UN1187B98D3A7
615-63-1434,ARJGNV61187B98F3B5
324-42-2869,ARSVI4L1187B996181
891-99-0918,ARVJ0JK1187B98C9C0
677-48-9863,AR4PCIG1187B98D07D
876-35-1817,AR1RHCO1187B9AF0BF
966-40-2860,AR1X2H01187B98CCF2
631-76-2521,ARBQBZV1187B99D29E
244-17-3252,AR9ODB41187FB459B2
350-94-7429,ARF3GX71187FB3EB66
321-95-9227,AR3PN3R1187FB4CEBD
210-91-6574,ARYWCFZ11E2835CFDD
245-71-5196,ARUT16P1187FB532A4
193-74-3987,AREOGMA1187B9908EF
855-08-8597,AR4ABL21187FB3913A
193-84-0722,AR8YV1I1187FB45D2B
544-26-8200,ARR9XGB1187B9912E6
139-59-6405,ARBKUS51187B98A3AC
691-14-0487,ARTB5PP1187FB523B7
223-74-6114,ARXFQDY1187B9AAF1E
431-67-3209,ARVEJ9M1187FB4DC44
562-65-2946,ARTHEAP122BCFCD0B2
286-32-7482,ARQESNI1187FB511EE
831-85-5444,ARCZ20M1187FB49687
504-29-2443,ARDF8K01187FB37200
171-42-1013,AR11NP91187B9901B4
590-03-4211,ARBZAIL1187FB5B1C8
385-75-7224,ARWXHRS1241B9C7A1E
216-08-8790,ARV1P811187FB3CFC6
160-62-4231,ARIU0MA1187B98D36F
932-27-8041,ARB4D891187B9954F7
752-05-1106,ARQOC971187B9910FA
866-52-2236,AR19SOA1187B98F6E6
481-51-8294,ARTDBI61187FB48479
476-97-5250,ARSE6YI1187B9B9CD2
169-58-3849,AR6C8EJ1187FB3F473
385-51-0458,AROI96Z1187B9A5304
750-72-9234,ARIOSKN1257509BCE1
437-77-6856,ARI0PUX1187FB3F215
991-47-3811,ARYO9BU1187B9ADA88
251-43-8880,ARZ507V1187FB4425E
546-74-0221,AR6XPWV1187B9ADAEB
974-73-9194,AR6PJ8R1187FB5AD70
140-65-6352,AR4CG3B1187FB5B861
420-55-1267,AR7BMMV1187FB5B2D7
122-54-2663,AREYIHC1187B99CE0B
322-10-9526,AREEMIN11F4C848971
159-91-5058,ARBJSO81187B9BA09B
617-55-2336,ARBGJLS11F4C83D4B9
516-33-3780,ARVNDLR1187B99CA1B
804-75-1735,AR5LZJD1187FB4C5E5
535-24-2991,AR3WMW01187B9921F7
464-61-5789,ARAEX7Y1187FB42D36
908-05-3058,ARK2G5U1187FB46B34
275-09-0102,ARTB56G11C8A41569D
937-72-4641,AR0GGKI1187FB391D5
983-88-2594,ARZEWUR1187FB53DC8
877-74-3562,AR89DTT1187B9A7ED5
628-54-9148,ARTHKKA122BCFCBF58
209-40-6885,ARJDMBO1187B9AD118
230-27-9901,ARYJSY01187B9B7C65
854-33-7359,AR77FBJ1187FB49D8D
382-20-5692,ARFVYJI1187B9B8E13
754-60-0963,ARBM4TC1187FB5CE98
415-36-9463,ARMQHX71187B9890D3
801-57-3453,ARYXJ5A1187B9B9E56
182-09-6169,ARULHJM1187B997004
114-81-5158,AROTIMO1187FB532BF
462-73-2877,AR0X3JJ1187FB3A9A7
206-31-0137,AR035N21187FB3938E
693-98-9344,ARA0H5U1187FB47949
895-34-1278,AR358YS1187FB44A29
991-89-8415,ARANOZN1187B9B373E
114-05-5935,ARHONG11187FB3B120
413-01-5087,ARRA2F91187B9B4061
603-73-4615,ARSGZ3J1187FB3E610
853-22-4784,ARMQ32V1187B9999F3
239-00-0125,AR8EDG51187FB41A08
141-96-4063,AR1GYND1187B9A9CD3
520-72-7819,AR1PCLK1187FB5BBFF
366-20-4145,ARF0W6Z1187B9AC325
215-55-3203,ARWGIOC1187FB4CBEF
609-18-8636,ARZHLNX1187FB4B8E7
613-05-0087,ARC25S11187B993923
393-30-8141,ARKE8PP1187B997DD4
559-98-2940,ARK9TRQ1187B99C095
345-53-8620,ARGTUWC1187B9904A0
298-66-2150,ARFS01P1187B9A395A
132-89-6282,ARGWIHH1187B9A79B0
198-38-1088,AR5MK521187B98E0B8
210-94-8787,ARU22AM1187B9961EA
719-39-7476,ARTB56G11C8A41569D
505-92-6775,AR93RTI1187B98ECFB
269-58-9433,AR9AN471187B99E0DA
640-00-4182,ARAR4YH1187B98BF2A
260-30-8622,AR567PN1187FB4B4F2
165-51-6110,ARYKF861187B99C74B
364-73-8231,AR4K59J1187FB3759B
624-53-8209,ARLSF8H1187B9A76B0
995-62-8114,ARDG9Z71187B997023
202-49-1502,AR56P361187B9AC4DB
155-92-8020,ARDDHGI126E2B3AA76
619-69-3047,ARVML631187B99E90D
345-68-9802,ARBKMHZ11F4C843491
229-93-4019,ARD3LXU1187B9ABFC5
530-96-2985,ARXOTQH1187FB57084
462-22-4098,ARMG6K31187FB55677
698-20-1915,ARFUSID1241B9C9462
491-80-8618,ARC6UC81187B989062
597-70-5592,ARKZJ301187FB521B2
192-25-5783,ARVKAWO11F50C47C9A
273-98-1398,ARHXBJI1241B9C8B7F
153-40-4571,ARTFLEU1269FCD1FE3
335-49-5144,AR0LVFQ1187B9A84E0
438-79-0870,ARU9KWP1187B98B2A7
385-72-0410,ARZ05QG1187FB3843E
276-30-8617,ARTEGHH1187FB435C8
269-66-0386,ARASSX21187FB528B7
317-22-1407,ARRH2S81187B98C8AA
816-03-0116,ARSF4161187B9B449F
727-80-3577,AR87OXB1187FB39E0B
404-87-1789,ARCLCFS1187B9AE476
369-98-7600,ARWAPYC1187FB3FCAF
516-46-6497,ARILV5E1187B9959C8
665-92-1838,ARHSAFX1187B98E89A
505-85-5013,ARGR9FY1187FB4D0E7
126-07-9614,ARVG4OK1187B9B6BD3
584-98-2885,ARGCY1Y1187B9A4FA5
123-52-0691,ARYFROT1187B9B78C2
326-60-0418,ARIN12F1187FB3E92C
983-99-9687,ARMZ4PD1187B9ACBCD
142-25-0796,AR0CWSC1187B9AFE3F
298-57-0761,ARD5K161187B9AC784
883-61-5678,ARUZRFN1187B98AC05
368-84-0241,ARSTH0R1187B98951E
888-98-7521,ARSL5SP1187B9A7AE0
443-38-8821,ARCE0H01187B9AF741
155-66-0780,ARW4AGO1187FB4F107
948-94-2175,ARZWK2R1187B98F09F
399-23-7095,ARDOOH01187B991055
108-43-7360,ARMBTFC1187FB56343
113-09-8798,ARBH0MS1187FB36311
938-55-5039,ARTXEZN1187B9B8190
696-20-5024,ARBM57Q1187B9AF97C
653-09-4525,ARED2DG1187FB3CB4D
350-27-8518,ARMQHX71187B9890D3
457-29-4761,ARNIFX51187FB418EA
536-18-0713,AREW1KO1187B98E42E
362-64-5502,ARUJ5A41187FB3F5F1
803-50-1553,ARE2BVT1187B9AC9A2
825-77-2831,ARMBTFC1187FB56343
948-13-8708,AR97EHA1187B98AD5F
516-89-8901,ARFTMGO1187B9A777A
530-18-1937,AR5J8XN1187B9B712E
978-82-9679,AR4B3RX1187B9A868A
895-66-4584,ARE1N571187B98A47D
965-32-2856,AR8XG9J1187FB418C1
333-54-8286,ARHSS201187B98A8CC
492-45-2707,AR02PUA1187FB52574
959-91-7050,AR6892W1187B9AC71B
852-60-7785,ARGNGRI11E2835D567
529-10-4191,ARQDYV0119B866800F
678-06-4550,ARN5W1B1187B98BE10
218-17-5172,ARBJSO81187B9BA09B
214-27-0414,ARETCTY1187FB4C033
809-84-7958,ARQXR6R1187FB46FD6
785-89-3368,ARP8TSJ1187FB54852
580-98-8400,AR3PN3R1187FB4CEBD
410-92-8421,ARQGYP71187FB44566
851-36-8165,ARHVU591187B99F46A
892-52-4274,ARV2V751187FB4330F
920-42-7547,ARX9YIP1187B98A656
740-73-3020,ARPPURC1187B990FB7
223-73-9746,AR0X3JJ1187FB3A9A7
623-30-4980,ARYECMK1187FB5C081
585-27-7604,AR74Q3R1187B9B24C3
861-84-9273,AR1PCLK1187FB5BBFF
361-20-7969,AR0G47L1187B98CC6D
440-93-8619,ARKUP6H1187FB3F8E3
292-13-9773,ARHRP6Q1187FB3F016
824-19-9636,AR10USD1187B99F3F1
817-88-5870,ARTW7I31187B9A4CA9
417-39-2967,ARQCMZ01187B99342C
197-55-9955,ARSZ6MA1187FB43D29
578-39-0060,ARDIBRT1187B9AF176
522-22-0885,ARY80281187FB3E380
939-55-1131,ARXSPYZ1187B98972A
881-89-2178,ARR2TI31187FB380FE
410-23-8274,ARNILB71187B99EC88
515-84-3974,AR0OEYB1187FB4A81E
314-03-2646,ARH4N0N1187FB3E1F1
235-04-7537,ARDQO721187FB3C6D9
852-90-3001,ARIFGKC1187B9B04D5
184-50-1889,AR4IWYN1187FB47DF6
309-73-9987,AR9YQN31187FB45B34
856-06-1773,ARV3IN31187FB4AAAE
646-18-7936,ARCID1N1187FB51DA0
991-01-1204,ARKCTSM11F4C83C839
520-24-0112,AR7JBP41187FB3EA8A
306-08-3062,ARAHQDS1187FB55275
777-12-3787,ARALP6I1187B989E27
762-55-8804,AR23EC41187FB4805D
844-35-8059,AR8JSAL1187FB3CE7E
932-30-6448,ARL6FF81187FB5A916
788-80-7437,AR9EZGO1187B9A401F
179-13-1350,ARLDW6Z1187FB3F2A0
130-57-0485,ARKA2YS1187B9A4060
598-08-7104,AR1QXAQ1187FB47FAC
466-10-7277,ARKSBCO1241B9CE46E
230-04-2535,AR76DOS1187FB5AE78
831-00-7966,AR4OHL91187B9B2EB9
730-53-6328,AR6QQY41187B990574
461-38-4138,ARN8NCB1187FB49652
304-79-1206,AREHMUC1187B98B91B
777-75-4518,ARXG6L11187FB5695E
138-60-1016,ARO2EDF1187B993BD8
280-12-6201,ARU0HTX1187B98B4C6
133-74-3278,ARVMPJC1187FB3B954
725-07-1394,ARDW5AW1187FB55708
175-71-6263,ARHNL9K1187FB5730C
647-82-8836,ARD7TVE1187B99BFB1
850-68-5434,AR3JMC51187B9AE49D
840-17-7063,ARPBNLO1187FB3D52F
192-05-5731,AR9AWNF1187B9AB0B4
650-90-1856,AROGWRA122988FEE45
458-34-8887,ARMBR4Y1187B9990EB
694-51-6512,ARQ9BO41187FB5CF1F
286-59-2444,ARKULSX1187FB45F84
785-41-0664,ARI2JSK1187FB496EF
516-78-2081,AREDBBQ1187B98AFF5
246-51-5664,AR7ZKHQ1187B98DD73
890-06-4807,ARBGXIG122988F409D
243-18-6977,AR7SMBG1187B9B9066
723-26-2015,ARGCY1Y1187B9A4FA5
655-76-9953,AR36F9J1187FB406F1
259-30-8119,ARNNKDK1187B98BBD5
198-39-5361,AR62SOJ1187FB47BB5
725-97-5972,ARBEBBY1187B9B43DB
254-05-1207,ARDR4AC1187FB371A1
482-70-1359,ARAGB2O1187FB3A161
924-71-6499,AREDL271187FB40F44
700-59-6781,ARP6N5A1187B99D1A3
181-19-3330,ARGSAFR1269FB35070
890-87-8520,ARULZCI1241B9C8611
176-60-4031,AR0IAWL1187B9A96D0
430-35-6865,ARJIE2Y1187B994AB7
243-47-5816,ARLTWXK1187FB5A3F8
504-00-1023,ARNF6401187FB57032
149-46-8488,ARPFHN61187FB575F6
470-04-2251,AR051KA1187B98B2FF
890-89-3803,AR8IEZO1187B99055E
139-95-1860,AR558FS1187FB45658
908-62-6142,ARVBRGZ1187FB4675A
798-88-2315,ARWB3G61187FB49404
995-91-9389,AREVWGE1187B9B890A
135-45-8448,AR2JD2Z1187B998A90
560-57-9469,AR7TTCH1187FB3F95C
275-90-8240,ARF6ZTO1187FB3684F
343-36-5195,ARPYBWQ1187B989C0D
184-98-9997,ARU0HTX1187B98B4C6
135-79-3345,ARUE3AK1187B9AC923
662-14-4084,AR6W9T51187B9A8B8E
293-96-2010,ARQ05GM1187B990512
507-71-2052,AR1Y2PT1187FB5B9CE
638-63-9305,ARXN7S71187B9941BE
953-42-8601,AR1072G1187FB5B351
766-19-5673,ARXIIEY1187FB44EAF
352-51-1745,ARBUOOR1187B997391
981-01-8439,ARQ9BO41187FB5CF1F
511-41-4201,ARGC7FQ1187FB409CC
406-13-7720,ARRS5961187B99F9DE
986-68-0196,AR14CJ91187FB3A994
929-34-4126,ARJV0U41187B9AB715
617-67-8930,AR502DZ1187B98F8E1
148-51-5956,ARWI6LR1187FB46E9F
477-57-9782,AR0AVIB1187FB37D01
762-53-4471,AR7OCK81187B98D1F1
751-00-1259,ARABFU01187FB46712
614-38-7686,ARF88UQ1187FB5A3E9
621-29-0906,ARQZTGO11E8F5C0768
848-71-8199,AR08GQF1187B98E316
164-39-1096,ARZGMLE11F4C840C9D
407-85-6343,AROATPL1187FB48E12
157-42-5123,ARBXIDR1187B9AB77E
532-72-0402,ARYCP7D1187B99516B
437-67-7611,ARVN9FZ1187FB393F1
219-02-0341,ARMD6JB1187FB3B0E7
134-64-3476,ARFAGIR1187B997EA1
374-16-5899,AR6C8EJ1187FB3F473
907-85-7575,AROHMXL1187B9AF4B2
886-62-6621,ARWNRBH1187B9B7E68
472-06-1004,ARRVUWA1187B9A0FE2
982-11-7847,AR0LVFQ1187B9A84E0
129-63-0218,ARZCEOJ1187B9A91C0
895-18-9272,ARD2NDU1187B99B615
898-53-5307,AREJO121187B995676
109-87-5898,AR5WPYF1187B9B40DA
395-29-7540,ARN5BHA1187B99E072
482-52-5050,ARUZL121187FB4B42D
531-29-7133,ARW040W1187FB51082
924-15-8402,ARQ7XJG1187B991CEC
230-07-0007,AR7S48C1187B99711E
979-75-7600,ARM7C1Q1187FB471C8
154-38-6951,ARYHTYH11EBCD7C884
666-15-8027,AR7UOUK1187B99078C
856-31-6017,ARGEKDX1187FB3A5BF
621-84-5481,ARNQESK11F4C83FD6F
830-29-4976,ARN03F71187FB4E3F4
719-05-2097,ARJ9B1V1187FB4DD1F
398-83-9261,ARSS1OZ1187FB54440
122-41-0806,ARDG9Z71187B997023
577-49-8640,ARZWK2R1187B98F09F
374-24-3059,ARNNQ9E1187FB3C82F
291-96-0485,ARWI6LR1187FB46E9F
760-52-1644,ARWSMC91187B9AD369
185-38-7520,ARZAXOR11F4C83EB65
858-58-2967,ARFK98R1187B9B0552
626-74-1464,ARU9Q5Q1187FB3D6EB
555-09-3345,AR57Z841187B9B7D7D
294-23-4202,AR82DJK1187B991107
274-15-8745,ARMUC731187B9A172D
611-53-0702,ARWD25M1187FB4C563
934-40-5419,ARYF20K1187B9B76BD
912-72-1974,ARRESZG1187B9A3FBF
